name,yearID,G,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,ER,ERA,CG,E
Florida Marlins,1993,162,64,98,581,5475,1356,197,31,94,498,1054.0,117.0,661,4.13,4,122
Houston Astros,1993,162,85,77,716,5464,1459,288,37,138,497,911.0,103.0,559,3.49,18,125
Kansas City Royals,1993,162,84,78,675,5522,1455,294,35,125,428,936.0,100.0,649,4.04,16,96
Los Angeles Dodgers,1993,162,81,81,675,5588,1458,234,28,130,492,937.0,126.0,572,3.5,17,132
Minnesota Twins,1993,162,71,91,693,5601,1480,261,27,121,493,850.0,83.0,756,4.71,5,100
Milwaukee Brewers,1993,162,69,93,733,5525,1426,240,25,125,555,932.0,138.0,715,4.45,26,131
Montreal Expos,1993,163,94,68,732,5493,1410,270,36,122,542,860.0,228.0,574,3.55,8,159
New York Yankees,1993,162,88,74,821,5615,1568,294,24,178,629,910.0,39.0,695,4.35,11,101
New York Mets,1993,162,59,103,672,5448,1350,228,37,158,448,879.0,79.0,647,4.05,16,156
Oakland Athletics,1993,162,68,94,715,5543,1408,260,21,158,622,1048.0,131.0,791,4.9,8,111
Philadelphia Phillies,1993,162,97,65,877,5685,1555,297,51,156,665,1049.0,91.0,646,3.95,24,141
Pittsburgh Pirates,1993,162,75,87,707,5549,1482,267,50,110,536,972.0,92.0,766,4.77,12,105
San Diego Padres,1993,162,61,101,679,5503,1386,239,28,153,443,1046.0,92.0,675,4.23,8,160
Seattle Mariners,1993,162,82,80,734,5494,1429,272,24,161,624,901.0,91.0,678,4.2,22,90
San Francisco Giants,1993,162,103,59,808,5557,1534,269,33,168,516,930.0,120.0,584,3.61,4,101
St. Louis Cardinals,1993,162,87,75,758,5551,1508,262,34,118,588,882.0,153.0,660,4.09,5,159
Texas Rangers,1993,162,86,76,835,5510,1472,284,39,181,483,984.0,113.0,684,4.28,20,130
Toronto Blue Jays,1993,162,95,67,847,5579,1556,317,42,159,588,861.0,170.0,674,4.21,11,107
Atlanta Braves,1994,114,68,46,542,3861,1031,198,18,137,377,668.0,48.0,407,3.57,16,81
Baltimore Orioles,1994,112,63,49,589,3856,1047,185,20,139,438,655.0,69.0,477,4.31,13,57
Boston Red Sox,1994,115,54,61,552,3940,1038,222,19,120,404,723.0,81.0,564,4.93,6,81
California Angels,1994,115,47,68,543,3943,1042,178,16,120,402,715.0,65.0,618,5.42,11,76
Chicago White Sox,1994,113,67,46,633,3942,1133,175,39,121,497,568.0,77.0,444,3.95,13,79
Chicago Cubs,1994,113,49,64,500,3918,1015,189,26,109,364,750.0,69.0,508,4.47,5,81
Cincinnati Reds,1994,115,66,48,609,3999,1142,211,36,124,388,738.0,119.0,436,3.78,6,73
Cleveland Indians,1994,113,66,47,679,4022,1165,240,20,167,382,629.0,131.0,493,4.36,17,90
Colorado Rockies,1994,117,53,64,573,4006,1098,206,39,125,378,761.0,91.0,590,5.15,4,84
Detroit Tigers,1994,115,53,62,652,3955,1048,216,25,161,520,897.0,46.0,609,5.38,15,82
Florida Marlins,1994,115,51,64,468,3926,1043,180,24,94,349,746.0,65.0,508,4.5,5,95
Houston Astros,1994,115,66,49,602,3955,1099,252,25,120,394,718.0,124.0,454,3.97,9,72
Kansas City Royals,1994,115,64,51,574,3911,1051,211,38,100,376,698.0,140.0,485,4.23,5,80
Los Angeles Dodgers,1994,114,58,56,532,3904,1055,160,29,115,366,687.0,74.0,477,4.23,14,88
Minnesota Twins,1994,113,53,60,594,3952,1092,239,23,103,359,635.0,94.0,634,5.68,6,75
Milwaukee Brewers,1994,115,53,62,547,3978,1045,238,21,99,417,680.0,59.0,532,4.62,11,85
Montreal Expos,1994,114,74,40,585,4000,1111,246,30,108,379,669.0,137.0,410,3.56,4,94
New York Yankees,1994,113,70,43,670,3986,1155,238,16,139,530,660.0,55.0,491,4.34,8,80
New York Mets,1994,113,55,58,506,3869,966,164,21,117,336,807.0,25.0,469,4.13,7,89
Oakland Athletics,1994,114,51,63,549,3885,1009,178,13,113,417,686.0,91.0,537,4.82,12,88
Philadelphia Phillies,1994,115,54,61,521,3927,1028,208,28,80,396,711.0,67.0,438,3.85,7,94
Pittsburgh Pirates,1994,114,53,61,466,3864,1001,198,23,80,349,725.0,53.0,518,4.64,8,89
San Diego Padres,1994,117,47,70,479,4068,1117,200,19,92,319,762.0,79.0,474,4.08,8,111
Seattle Mariners,1994,112,49,63,569,3883,1045,211,18,153,372,652.0,48.0,546,4.99,13,95
San Francisco Giants,1994,115,55,60,504,3869,963,159,32,123,364,719.0,114.0,454,3.99,2,68
St. Louis Cardinals,1994,115,53,61,535,3902,1026,213,27,108,434,686.0,76.0,581,5.14,7,80
